,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
39401,USA,North America,United States,2020-03-28,104686.0,18695.0,12151.714,1707.0,411.0,206.71400000000003,316.269,56.48,36.711999999999996,5.157,1.242,0.625,107000.0,1009979.0,3.051,0.32299999999999995,94485.0,0.285,7.775,0.129,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39402,USA,North America,United States,2020-03-29,124665.0,19979.0,13988.286,2191.0,484.0,264.42900000000003,376.62800000000004,60.358999999999995,42.26,6.619,1.462,0.799,97470.0,1107449.0,3.346,0.294,99501.0,0.301,7.113,0.141,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39403,USA,North America,United States,2020-03-30,143025.0,18360.0,15402.714,2509.0,318.0,291.143,432.096,55.468,46.534,7.58,0.961,0.88,107218.0,1214667.0,3.67,0.324,104707.0,0.316,6.797999999999999,0.147,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39404,USA,North America,United States,2020-03-31,164620.0,21595.0,16882.571,3170.0,661.0,368.57099999999997,497.337,65.241,51.004,9.577,1.9969999999999999,1.113,125077.0,1339744.0,4.048,0.37799999999999995,109551.0,0.331,6.489,0.154,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39405,USA,North America,United States,2020-04-01,189618.0,24998.0,19198.143,4079.0,909.0,468.286,572.859,75.52199999999999,58.0,12.323,2.7460000000000004,1.415,133114.0,1472858.0,4.45,0.402,114215.0,0.345,5.949,0.168,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39406,USA,North America,United States,2020-04-02,216721.0,27103.0,21075.286,5138.0,1059.0,584.0,654.741,81.882,63.67100000000001,15.523,3.199,1.764,140386.0,1613244.0,4.874,0.424,118252.0,0.35700000000000004,5.6110000000000015,0.17800000000000002,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39407,USA,North America,United States,2020-04-03,245540.0,28819.0,22792.714,6053.0,915.0,679.571,741.807,87.066,68.86,18.287,2.764,2.053,147684.0,1760928.0,5.32,0.446,122564.0,0.37,5.377000000000002,0.18600000000000005,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39408,USA,North America,United States,2020-04-04,277965.0,32425.0,24754.142999999996,7157.0,1104.0,778.571,839.7669999999999,97.96,74.785,21.622,3.335,2.352,133432.0,1894360.0,5.723,0.40299999999999997,126340.0,0.382,5.104,0.196,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39409,USA,North America,United States,2020-04-05,312237.0,34272.0,26796.0,8501.0,1344.0,901.429,943.307,103.54,80.954,25.683000000000003,4.06,2.7230000000000003,125800.0,2020160.0,6.103,0.38,130387.0,0.39399999999999996,4.8660000000000005,0.206,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39410,USA,North America,United States,2020-04-06,337635.0,25398.0,27801.429,9647.0,1146.0,1019.7139999999999,1020.0369999999999,76.73100000000001,83.992,29.145,3.4619999999999997,3.0810000000000004,128547.0,2148707.0,6.492000000000001,0.38799999999999996,133434.0,0.40299999999999997,4.8,0.208,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39411,USA,North America,United States,2020-04-07,368196.0,30561.0,29082.286,10989.0,1342.0,1117.0,1112.366,92.329,87.861,33.199,4.053999999999999,3.375,148178.0,2296885.0,6.939,0.44799999999999995,136734.0,0.413,4.702,0.213,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
39412,USA,North America,United States,2020-04-08,398809.0,30613.0,29884.429,12895.0,1906.0,1259.4289999999999,1204.851,92.486,90.285,38.957,5.757999999999999,3.805,344642.0,2641527.0,7.98,1.041,166953.0,0.504,5.5870000000000015,0.179,tests performed,72.69,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
